Name,Class,Country,Year of Launch
1934-class Summary Information,1934-class Destroyer,Germany,
ABSD-1,No Classification,United States,
ABSD-2,No Classification,United States,
Abukuma,Nagara-class Light Cruiser,Japan,1923
Acavus,Rapana-class Merchant Vessel,United Kingdom,
Activity,Activity-class Escort Carrier,United Kingdom,1942
Adelaide,Town-class Light Cruiser,Australia,1918
Admiral Graf Spee,Deutschland-class Heavy Cruiser,Germany,1934
Admiral Hipper,Admiral Hipper-class Heavy Cruiser,Germany,1937
Admiral Scheer,Deutschland-class Heavy Cruiser,Germany,1933
Adula,Rapana-class Merchant Vessel,United Kingdom,
Agano,Agano-class Light Cruiser,Japan,1941
Akagi,Akagi-class Aircraft Carrier,Japan,1925
Akashi,Akashi-class Repair Ship,Japan,1938
Alabama,South Dakota-class Battleship,United States,1942
Alaska,Alaska-class Large Cruiser,United States,1943
Albacore,Gato-class Submarine,United States,1942
Albatross,No Classification,United Kingdom,
Albert W. Grant,Fletcher-class Destroyer,United States,1943
Alfredo Oriani,Oriani-class Destroyer,Italy,
Algérie,Algérie-class Heavy Cruiser,France,1932
Alpino,Soldati-class Destroyer,Italy,
Altmark,No Classification,Germany,
Amagi,Unryu-class Aircraft Carrier,Japan,1943
Amagiri,Fubuki-class Destroyer,Japan,1930
Amberjack,Gato-class Submarine,United States,
Ambra,Perla-class Submarine,Italy,
Ameer,Ruler-class Escort Carrier,United Kingdom,1942
Ancon,No Classification,United States,1938
Ancylus,Rapana-class Merchant Vessel,United Kingdom,1935
Angler,Gato-class Submarine,United States,
Anson,King George V (1939)-class Battleship,United Kingdom,
Anticosti,Isles-class Trawler,Canada,1942
Anzio,Casablanca-class Escort Carrier,United States,1943
Aoba,Furutaka-class Heavy Cruiser,Japan,1926
Apogon,Balao-class Submarine,United States,1943
Arashio,Asashio-class Destroyer,Japan,
Arbiter,Ruler-class Escort Carrier,United Kingdom,1943
Archer,Archer-class Escort Carrier,United Kingdom,
Archerfish,Balao-class Submarine,United States,
Argonaut (Argonaut-class),Argonaut-class Submarine,United States,
Argonaut (Tench-class),Tench-class Submarine,United States,
Argus,Argus-class Aircraft Carrier,United Kingdom,1917
Arisan Maru,No Classification,Japan,
Arizona,Pennsylvania-class Battleship,United States,1915
Ark Royal,Ark Royal-class Aircraft Carrier,United Kingdom,1937
Armidale,Bathurst-class Corvette,Australia,1942
Artigliere,Soldati-class Destroyer,Italy,
Asagumo,Asashio-class Destroyer,Japan,
Asama Maru,No Classification,Japan,1928
Ascari,Soldati-class Destroyer,Italy,1938
Ashigara,Myoko-class Heavy Cruiser,Japan,1928
Aspro,Balao-class Submarine,United States,
