Name,Primary Role,Manufacturer,Country
16H ,Motorcycle ,Norton Motorcycle Company  ,United Kingdom  
4TP ,Tankette ,Panstwowe Zaklady Inzynieryjne  ,Poland  
6-Ton ,Light Tank ,"Vickers-Armstrongs, Limited  ",United Kingdom  
7TP ,Light Tank ,  ,Poland  
AB 41 ,Armored Car ,Ansaldo-Fossati  ,Italy  
AEC ,Armored Car ,Associated Equipment Company  ,United Kingdom  
AMC 35 S ,Cruiser Tank ,SOMUA  ,France  
AMC 35 ,Cruiser Tank ,Renault S.A.  ,France  
AMR 33 ,Light Tank ,Renault S.A.  ,France  
AMR 35 ,Light Tank ,Renault S.A.  ,France  
AS 42 ,Armored Car ,Fiat  ,Italy  
BA-10 ,Armored Car ,Izhoresk Motor Factory  ,Russia  
BA-20 ,Armored Car ,Gorkovsky Avtomobilny Zavod  ,Russia  
BA-64 ,Armored Car ,Gorkovsky Avtomobilny Zavod  ,Russia  
BM-13/8/31 Katyusha ,Self-Propelled Rocket Artillery ,"Voronezh Komintern Factory, Russia  ",Russia  
Bystrokhodny ,Cruiser Tank ,"Kharkov Komintern Locomotive Factory, Ukraine  ",Russia  
C15TA ,Armored Car ,General Motors Canada  ,Canada  
C7P ,Artillery Tractor ,Panstwowe Zaklady Inzynieryjne  ,Poland  
Canon de 194 modèle GPF ,Self-Propelled Gun ,Schneider-Creusot  ,France  
